# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
0 28.7591 58.0959 -402.902 -20.6545 24.0343 -298.179 -575.351 665.69 -9575.98
10 22.721 80.1659 -396.519 -25.3198 31.7535 -297.703 -743.618 987.174 -9503.37
20 10.8729 109.959 -374.475 -29.6887 46.3874 -284.605 -918.93 1528.75 -9055.03
30 1.06454 140.432 -339.371 -34.4622 66.2751 -261.57 -1102.75 2205.29 -8323.21
40 -2.58859 165.465 -293.33 -40.9412 86.6087 -231.53 -1324.6 2860.77 -7395.59
50 -2.87969 182.434 -238.996 -49.7397 102.013 -196.999 -1617.57 3338.8 -6337.93
60 -5.87534 187.554 -181.211 -60.7676 108.405 -160.657 -2001.23 3515.13 -5221.13
70 -13.9243 174.984 -126.839 -73.8997 103.093 -125.756 -2479.19 3300.35 -4138.19
80 -23.0714 143.094 -82.5037 -89.5776 85.0374 -94.6342 -3036.75 2662.65 -3157.22
90 -29.0028 97.2797 -49.5652 -107.895 54.9108 -66.9184 -3639.32 1648.32 -2264.73
100 -33.8873 47.3181 -22.8999 -128.265 14.5558 -40.1734 -4254.23 349.239 -1382.46
110 -45.3193 -0.983452 5.59803 -149.539 -33.3418 -11.8217 -4861.19 -1136.24 -431.497
120 -68.8083 -49.4948 40.6274 -169.866 -84.3797 19.7748 -5436.21 -2693.84 631.821
130 -102.797 -101.458 81.4655 -187.206 -132.492 55.165 -5948.61 -4178.38 1810.94
140 -138.455 -153.607 124.432 -200.411 -171.683 93.6 -6372.31 -5427.12 3065.99
150 -165.885 -197.13 165.343 -209.655 -197.346 132.741 -6703.46 -6289.1 4316.02
160 -181.369 -222.693 202.809 -216.213 -207.422 169.09 -6966.13 -6673.48 5459.49
170 -189.134 -225.371 238.919 -221.427 -203.419 199.431 -7191.26 -6595.04 6411.8
180 -194.208 -205.922 273.983 -225.643 -189.011 222.161 -7374.45 -6151.57 7127.3
190 -197.337 -170.855 303.824 -226.991 -167.139 237.074 -7437.61 -5445.52 7590.02
200 -196.405 -129.391 323.666 -221.568 -139.345 245.072 -7252.83 -4541.73 7817.1
210 -186.768 -86.9631 332.576 -205.819 -106.039 248.668 -6717.74 -3471.15 7882.62
220 -163.19 -42.9879 334.533 -178.16 -67.3874 251.236 -5799.91 -2236.57 7903.95
230 -125.276 7.27706 335.438 -138.806 -23.7141 254.595 -4521.21 -823.537 7964.37
240 -76.636 67.7762 338.639 -89.2018 24.0629 257.414 -2932.27 760.392 8047.29
250 -19.2905 134.834 340.585 -32.5883 73.5007 256.439 -1121.41 2435.75 8051.35
260 47.9417 198.946 332.615 26.3258 120.588 248.489 773.334 4039.99 7852.34
270 122.819 249.453 305.486 82.6297 160.461 231.644 2599.01 5380.08 7357.67
280 196.217 280.494 253.875 132.964 188.961 205.392 4243.39 6306.83 6526.92
290 257.015 291.872 179.135 175.883 204.059 169.903 5647.35 6761.43 5366.35
300 297.548 287.021 90.7669 210.215 206.672 125.941 6768.58 6788.5 3918.95
310 318.961 271.16 3.37212 233.973 199.915 74.893 7556.19 6509.63 2257.97
320 328.61 251.049 -70.1086 245.584 187.06 19.4578 7978.02 6053.45 488.768
330 331.244 229.302 -124.435 245.703 169.75 -35.7169 8057.57 5491.03 -1250.37
340 323.911 204.512 -162.264 237.754 148.425 -85.0281 7871.97 4831.39 -2807.73
350 301.613 175.153 -188.864 226.442 123.452 -124.236 7523.16 4059.82 -4062.99
360 266.056 141.745 -206.311 215.253 95.1833 -152.178 7111.09 3169.18 -4974.37
370 227.635 107.61 -213.962 205.731 64.2672 -170.848 6716.74 2167.85 -5591.99
380 197.841 72.9813 -213.465 198.014 31.4856 -183.856 6393.71 1080.06 -6028.29
390 183.31 35.9099 -209.718 192.099 -1.85536 -195.058 6165.63 -49.9391 -6408.25
400 183.124 -5.15205 -207.19 187.996 -33.7114 -207.504 6019.62 -1158.18 -6824.6
410 189.586 -48.9569 -208.674 184.421 -62.1029 -222.648 5891.15 -2180.65 -7314.61
420 192.862 -92.1761 -216.737 178.515 -86.592 -240.006 5662.36 -3079.44 -7865.67
430 184.685 -129.284 -232.623 166.191 -108.228 -258.366 5199.71 -3858.98 -8447.45
440 161.592 -158.143 -254.793 144.262 -129.207 -276.891 4414.31 -4570.03 -9036.25
450 124.848 -181.113 -278.667 112.084 -151.549 -294.922 3304.38 -5276.53 -9606.97
460 78.2716 -201.397 -299.123 71.4653 -175.498 -311.292 1952.08 -6003.69 -10115.9
470 26.1243 -220.736 -313.553 25.9474 -199.636 -324.129 492.296 -6719.13 -10497.9
480 -28.9412 -238.865 -321.288 -19.3155 -221.472 -331.058 -911.757 -7353.15 -10680.4
490 -85.0609 -255.224 -321.643 -58.3622 -238.171 -330.326 -2091.44 -7830.94 -10608
500 -136.991 -270.956 -314.814 -85.8309 -247.27 -321.479 -2895.26 -8089.19 -10268.2
510 -174.901 -285.708 -301.775 -97.64 -247.261 -305.487 -3199.52 -8092.89 -9695.81
520 -187.712 -297.978 -283.794 -91.4726 -238.622 -284.138 -2926.3 -7849.15 -8950.45
530 -168.141 -302.558 -260.944 -67.8814 -222.701 -259.077 -2087.3 -7383.58 -8081.32
540 -119.326 -294.243 -231.06 -31.221 -200.812 -230.591 -827.329 -6706.36 -7095.55
550 -54.2624 -268.576 -191.961 11.0213 -173.337 -197.345 587.433 -5812.35 -5958.71
560 10.9867 -225.339 -143.897 50.0513 -140.513 -157.443 1855.13 -4710.68 -4636.7
570 67.5349 -167.248 -89.0695 79.1373 -102.863 -110.152 2763.85 -3440.33 -3130.7
580 111.441 -100.247 -29.2559 96.4323 -60.9529 -56.2996 3270.4 -2045.82 -1477.08
590 138.561 -31.0373 33.8528 103.746 -14.7388 1.49971 3437.31 -544.225 256.854
600 146.245 34.7486 98.4023 103.041 35.737 59.0261 3336.13 1064.32 1972.49
610 136.789 95.9195 162.024 96.3962 88.9724 111.599 3050.17 2757.69 3553.55
620 116.289 157.705 219.168 86.6676 142.251 155.6 2685.71 4480.76 4893.38
630 91.4743 224.729 261.753 75.7275 192.771 189.506 2317.48 6160.56 5926.46
640 67.3815 294.361 284.06 63.6564 238.863 213.418 1948.14 7725.85 6640.33
650 47.145 358.774 288.603 49.808 279.933 227.561 1544.06 9116.05 7052.58
660 32.0737 411.397 284.989 34.2618 314.635 231.719 1090.83 10262.6 7186.76
670 21.4503 451.144 283.003 18.2454 340.084 226.882 610.538 11074 7085.08
680 12.4808 477.804 286.172 2.95796 352.806 216.307 135.088 11463.6 6823.18
690 3.05031 489.094 290.208 -11.5037 351.285 204.491 -329.115 11401.4 6498.08
700 -7.03512 481.694 290.313 -26.4159 337.421 195.331 -802.151 10944.5 6212.59
710 -16.7667 456.122 286.95 -42.5491 315.645 191.252 -1293.87 10219.1 6055.97
720 -28.6307 418.876 283.164 -59.1753 290.87 192.909 -1785.88 9373.17 6075.94
730 -47.7364 379.782 281.887 -75.075 266.512 199.449 -2261.2 8520.9 6256.62
740 -76.363 347.878 281.693 -90.0873 243.36 207.541 -2722.64 7712.93 6494.59
750 -110.246 327.568 277.383 -104.748 220.502 211.537 -3176.88 6948.25 6609.2
760 -143.002 316.112 262.564 -119.913 197.098 205.882 -3627.09 6211.08 6417.16
770 -171.097 305.112 232.883 -136.289 173.973 187.323 -4085.72 5507.49 5809.48
780 -195.159 285.383 187.808 -154.067 152.903 155.474 -4574.57 4860.98 4773.31
790 -217.848 254.492 131.143 -172.45 134.654 112.402 -5098.84 4271.86 3381.64
800 -241.962 218.095 69.7521 -189.45 118.017 62.192 -5623.85 3707.92 1774.88
