# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
0 75.7934 -381.207 142.085 89.0437 -331.297 87.4295 2805.73 -10777.2 2534.54
10 98.5699 -328.485 142.222 129.467 -291.639 95.5796 4042.4 -9510.66 2731.61
20 127.79 -264.489 135.78 170.958 -244.761 94.3878 5341.13 -8003.85 2655.73
30 168.174 -193.73 123.986 210.458 -190.835 86.9203 6631.27 -6279.04 2390.35
40 214.766 -121.131 110.991 247.207 -131.125 77.2769 7874 -4372.5 2059.88
50 257.237 -49.4873 103.585 281.516 -67.619 69.3068 9040.78 -2345.16 1788.4
60 288.506 18.5025 105.909 312.793 -3.26608 66.0038 10090 -284.09 1677.68
70 309.686 81.6156 118.472 338.863 58.2166 69.3882 10961.7 1689.77 1794.56
80 327.708 138.886 138.558 356.783 112.435 80.3343 11593.1 3433.62 2161.51
90 346.626 187.672 161.878 364.653 156.332 98.1809 11936.5 4838.47 2751.04
100 362.37 224.28 185.283 362.458 189.469 120.289 11960.5 5880.36 3476.01
110 367.525 248.99 206.08 351.088 213.797 141.886 11642.5 6620.73 4189.38
120 359.55 267.645 220.702 330.781 232.098 158.052 10977.8 7170.88 4739.86
130 342.402 287.224 227.693 301.749 246.957 167.148 10007 7635.36 5071.74
140 322.689 309.556 229.936 266.457 259.374 171.353 8842.4 8055 5246.08
150 302.657 329.149 231.106 230.112 268.248 173.649 7662.88 8380.24 5358.07
160 280.798 336.026 236.627 199.3 270.685 176.14 6655.65 8492.03 5474.52
170 256.574 320.896 247.92 177.756 263.487 179.771 5922.21 8266.79 5630.67
180 233.174 282.286 261.46 163.79 244.609 185.525 5420.03 7637.95 5839.86
190 212.205 228.75 268.576 151.578 213.829 193.488 4986.82 6616.41 6086.22
200 189.34 172.87 263.67 134.574 172.393 201.248 4419.17 5278.08 6291.84
210 157.176 124.316 247.095 107.914 123.844 202.508 3549.46 3740.97 6287.93
220 110.129 84.3217 221.239 68.8826 73.1209 189.134 2293.24 2142.45 5854.29
230 47.7339 48.4832 184.054 17.825 25.3775 156.061 667.766 618.541 4832.2
240 -25.7806 13.2865 126.674 -41.7434 -15.036 103.667 -1211.99 -701.459 3209.07
250 -104.084 -19.4803 45.1991 -103.623 -44.6161 36.5894 -3157.28 -1691.77 1112.83
260 -180.681 -43.4259 -51.5154 -160.671 -60.978 -38.0378 -4962.19 -2253.41 -1233.26
270 -248.168 -53.0321 -148.349 -208.053 -64.0161 -112.44 -6480.9 -2366.15 -3585.49
280 -298.914 -48.5611 -233.928 -244.476 -56.1432 -180.7 -7662.88 -2111.64 -5765.61
290 -328.846 -35.4308 -304.594 -270.664 -41.3903 -239.488 -8511.17 -1631.44 -7682.23
