# Time-averaged data for fix Ave
# TimeStep v_HAg v_HTe
0 0.0118058 -4.55188
10 0.0110355 -4.55873
20 0.010868 -4.56407
30 0.0115661 -4.5656
40 0.0129989 -4.56332
50 0.0147533 -4.55977
60 0.0163822 -4.55708
70 0.0175977 -4.55657
80 0.0183892 -4.55703
90 0.0189288 -4.55707
100 0.0192955 -4.55515
110 0.0193144 -4.5522
120 0.0187843 -4.54947
130 0.0177824 -4.54748
140 0.0166022 -4.54568
150 0.0155357 -4.54445
160 0.0148369 -4.54358
170 0.0147209 -4.54327
180 0.0151793 -4.54314
190 0.0159533 -4.54328
200 0.0167996 -4.54428
210 0.0176605 -4.54574
220 0.0185488 -4.54713
230 0.0193277 -4.54827
240 0.0197089 -4.54917
250 0.0194012 -4.5494
260 0.0182787 -4.54873
270 0.0164842 -4.54754
280 0.0143364 -4.54675
290 0.0121664 -4.54722
300 0.0102281 -4.54982
310 0.00874875 -4.55414
320 0.00799215 -4.55862
330 0.00811888 -4.56114
340 0.00900546 -4.56145
350 0.0102714 -4.55994
360 0.0115175 -4.55804
370 0.0124937 -4.55722
380 0.0131974 -4.55689
390 0.0137495 -4.55617
400 0.0141866 -4.55481
410 0.0144559 -4.55278
420 0.014537 -4.55029
430 0.0144613 -4.54782
440 0.0142334 -4.54613
450 0.0137844 -4.54645
460 0.0130535 -4.5491
470 0.0120903 -4.55343
480 0.0110926 -4.55733
490 0.0102807 -4.55894
500 0.00978515 -4.55767
510 0.00965588 -4.55439
520 0.0099111 -4.55062
530 0.0105331 -4.54793
540 0.0114261 -4.54795
550 0.0124529 -4.54971
560 0.0134856 -4.55212
570 0.0144068 -4.55339
580 0.015101 -4.55265
590 0.0154684 -4.55164
600 0.0154231 -4.55136
610 0.0149311 -4.55328
620 0.0141264 -4.55748
630 0.0132882 -4.56349
640 0.012732 -4.56876
650 0.0126834 -4.57068
660 0.0131818 -4.5677
670 0.0140112 -4.56011
680 0.0148222 -4.55052
690 0.0152896 -4.5417
700 0.015252 -4.53692
710 0.0147623 -4.53729
720 0.014039 -4.54233
730 0.0133642 -4.54859
740 0.0129336 -4.55331
750 0.0127864 -4.55435
760 0.0128896 -4.55225
770 0.0131819 -4.54879
780 0.0135049 -4.5466
790 0.013674 -4.54671
800 0.0135366 -4.54932
810 0.0130953 -4.55316
820 0.0125003 -4.55605
830 0.0119529 -4.55649
840 0.0115761 -4.55384
850 0.0113577 -4.54958
860 0.0111583 -4.5457
870 0.0108346 -4.54367
880 0.0104729 -4.54337
890 0.0103512 -4.54378
900 0.0106981 -4.54438
910 0.0115056 -4.54486
920 0.0125542 -4.54506
930 0.0134831 -4.54609
940 0.0139441 -4.54836
950 0.0138312 -4.55157
960 0.0133653 -4.55389
970 0.012873 -4.5543
980 0.0125114 -4.55328
990 0.0122784 -4.55158
1000 0.0121969 -4.55003
1010 0.0123898 -4.54888
1020 0.0129855 -4.54841
1030 0.013996 -4.54925
1040 0.0152409 -4.55125
1050 0.0163902 -4.55367
1060 0.0171841 -4.55578
1070 0.0175333 -4.55688
1080 0.0174991 -4.55744
1090 0.0172842 -4.55853
1100 0.0172073 -4.55994
1110 0.0174971 -4.56092
1120 0.0180755 -4.56074
1130 0.0185515 -4.55961
1140 0.0185159 -4.55825
1150 0.0178646 -4.55758
1160 0.0169423 -4.55758
1170 0.0161955 -4.55739
1180 0.0157458 -4.55634
1190 0.0153502 -4.55517
1200 0.0147635 -4.55354
1210 0.0140403 -4.5512
1220 0.0134552 -4.54703
1230 0.0131568 -4.54237
1240 0.0130107 -4.53848
1250 0.0126855 -4.53667
1260 0.0119299 -4.53674
1270 0.0107694 -4.53825
1280 0.0094919 -4.53968
1290 0.00845233 -4.54099
1300 0.0079102 -4.543
1310 0.007954 -4.54671
1320 0.00852452 -4.55233
1330 0.00955056 -4.55804
1340 0.0110057 -4.56164
1350 0.0127876 -4.56194
1360 0.0146133 -4.56017
1370 0.0160607 -4.55842
1380 0.0167598 -4.55859
1390 0.0166316 -4.56057
1400 0.015922 -4.56212
1410 0.0149957 -4.56129
1420 0.0141405 -4.55769
1430 0.0135848 -4.55237
1440 0.0134626 -4.54707
1450 0.013741 -4.54408
1460 0.0142111 -4.54494
1470 0.0146402 -4.54939
1480 0.0149253 -4.55569
1490 0.0151109 -4.56119
1500 0.0152366 -4.56353
1510 0.0152164 -4.56273
1520 0.0149258 -4.55979
1530 0.0143207 -4.55626
1540 0.0135793 -4.55321
1550 0.0130512 -4.55041
1560 0.0129773 -4.54798
1570 0.0132971 -4.54612
1580 0.0137232 -4.54561
1590 0.0140107 -4.54732
1600 0.0141143 -4.55156
1610 0.0142139 -4.55749
1620 0.01458 -4.56348
1630 0.0153114 -4.56777
1640 0.0162449 -4.56901
1650 0.0170467 -4.56716
1660 0.0173877 -4.56396
1670 0.0170815 -4.56097
1680 0.0162624 -4.55927
1690 0.0153643 -4.55872
1700 0.0148331 -4.55831
1710 0.0148519 -4.55739
1720 0.0153839 -4.55548
1730 0.0162909 -4.55284
1740 0.0173463 -4.55014
1750 0.0182067 -4.54824
1760 0.0185007 -4.5483
1770 0.0180236 -4.55026
1780 0.0169208 -4.553
1790 0.0155919 -4.55419
1800 0.0143657 -4.55283
1810 0.0133633 -4.54972
1820 0.0125116 -4.54695
1830 0.0117516 -4.54627
1840 0.0111825 -4.5479
1850 0.011001 -4.54985
1860 0.0112509 -4.55083
1870 0.0117524 -4.55043
1880 0.0122064 -4.54927
1890 0.0124288 -4.54797
1900 0.0124682 -4.5471
1910 0.0125738 -4.54632
1920 0.0129316 -4.54629
1930 0.0135267 -4.54794
1940 0.0141961 -4.55122
1950 0.0147371 -4.55432
1960 0.0150524 -4.55645
1970 0.0151903 -4.55683
1980 0.0152145 -4.55615
1990 0.015113 -4.55423
2000 0.0148315 -4.5521
2010 0.014324 -4.54979
2020 0.0135412 -4.54835
2030 0.0124243 -4.54855
2040 0.0111057 -4.55066
2050 0.00998319 -4.55318
2060 0.00944546 -4.55451
2070 0.00963445 -4.554
2080 0.0105078 -4.55217
2090 0.0119276 -4.5498
2100 0.013694 -4.54813
2110 0.0154844 -4.54836
2120 0.0169503 -4.55119
2130 0.0179276 -4.55594
2140 0.0184651 -4.56063
2150 0.0186587 -4.5624
2160 0.0185176 -4.56004
2170 0.0180076 -4.55426
2180 0.0171223 -4.54851
2190 0.0159125 -4.54616
2200 0.014557 -4.54911
2210 0.0133164 -4.55633
2220 0.0123517 -4.56457
2230 0.0116813 -4.57106
2240 0.0112893 -4.5735
2250 0.011233 -4.57125
2260 0.0115473 -4.56563
2270 0.012182 -4.55885
2280 0.013004 -4.55274
2290 0.0138575 -4.54824
2300 0.0146262 -4.54485
2310 0.0152754 -4.54247
2320 0.0157513 -4.54122
2330 0.0159715 -4.54164
2340 0.0159824 -4.54338
2350 0.0160626 -4.5457
2360 0.0164806 -4.54796
2370 0.0172625 -4.55014
2380 0.0182155 -4.55211
2390 0.0190396 -4.55417
2400 0.0194418 -4.55628
2410 0.0192873 -4.55776
2420 0.0186681 -4.55815
2430 0.0179178 -4.55709
2440 0.0174158 -4.55572
2450 0.0173341 -4.55547
2460 0.017643 -4.55697
2470 0.0182376 -4.55868
2480 0.0189342 -4.55917
2490 0.0194036 -4.55788
2500 0.0193823 -4.55658
2510 0.0188841 -4.5566
2520 0.0181578 -4.55793
2530 0.0174763 -4.55885
2540 0.0170262 -4.5582
2550 0.0168577 -4.55566
2560 0.0168384 -4.5524
2570 0.0167352 -4.54928
2580 0.0163473 -4.54763
2590 0.0156208 -4.54838
2600 0.0146594 -4.55061
2610 0.0136311 -4.55217
2620 0.0126915 -4.55169
2630 0.0118763 -4.54875
2640 0.0111163 -4.54477
2650 0.0103503 -4.5418
2660 0.0096087 -4.54069
2670 0.00891758 -4.54105
2680 0.00826394 -4.54206
2690 0.00778291 -4.54302
2700 0.00774945 -4.54375
2710 0.00832034 -4.54424
2720 0.00940928 -4.54426
2730 0.0107916 -4.54374
2740 0.0122329 -4.54295
2750 0.0135184 -4.54183
2760 0.0145314 -4.54039
2770 0.0152664 -4.53863
2780 0.0157482 -4.53768
2790 0.0159581 -4.53836
2800 0.0158455 -4.54158
2810 0.015316 -4.54717
2820 0.0143053 -4.55358
2830 0.0129004 -4.55915
2840 0.0114218 -4.56226
2850 0.0103019 -4.56247
2860 0.0098596 -4.56044
2870 0.0100998 -4.55802
2880 0.0107634 -4.55732
2890 0.0115425 -4.55977
2900 0.0122141 -4.56453
2910 0.0126419 -4.56935
2920 0.0128353 -4.57109
2930 0.0129095 -4.56832
2940 0.0130035 -4.56202
2950 0.0131828 -4.55527
2960 0.0134712 -4.55159
2970 0.0139097 -4.5526
2980 0.0145728 -4.55654
2990 0.0155506 -4.56069
3000 0.0168419 -4.56204
3010 0.0183023 -4.55939
3020 0.0196302 -4.55371
3030 0.0204719 -4.54795
3040 0.0205679 -4.5456
3050 0.0199058 -4.54848
3060 0.0187462 -4.55515
3070 0.0175492 -4.56194
3080 0.0168059 -4.56444
3090 0.0167549 -4.56073
3100 0.0172264 -4.55238
3110 0.0177753 -4.54311
3120 0.0179571 -4.53781
3130 0.0174958 -4.53902
3140 0.016303 -4.54554
3150 0.0145263 -4.55422
3160 0.0125224 -4.56149
3170 0.0107497 -4.5656
3180 0.00963228 -4.56693
3190 0.00940401 -4.56642
3200 0.00998107 -4.56462
3210 0.0110411 -4.56223
3220 0.0122381 -4.55955
3230 0.013312 -4.55727
3240 0.0140798 -4.55635
3250 0.0144483 -4.55709
3260 0.0144363 -4.55886
3270 0.0141328 -4.5611
3280 0.0137805 -4.56326
3290 0.0136595 -4.56429
3300 0.0138666 -4.56383
3310 0.0143461 -4.56307
3320 0.0150218 -4.5624
3330 0.0158384 -4.56232
3340 0.0167757 -4.56273
3350 0.0178571 -4.56363
3360 0.0191023 -4.56434
3370 0.0204456 -4.56523
3380 0.0217177 -4.56606
3390 0.0227437 -4.56575
3400 0.0233726 -4.56378
3410 0.0234699 -4.56099
3420 0.0229571 -4.55913
3430 0.0218722 -4.55985
3440 0.0204597 -4.56289
3450 0.0191086 -4.56682
3460 0.0181335 -4.56968
3470 0.0176477 -4.57125
3480 0.0175235 -4.57207
3490 0.0175425 -4.57314
3500 0.0176101 -4.57421
3510 0.0178097 -4.57375
3520 0.018212 -4.57052
3530 0.0187385 -4.56453
3540 0.0192001 -4.5578
3550 0.0194387 -4.55311
3560 0.0194227 -4.55197
3570 0.0192168 -4.5533
3580 0.0188243 -4.55627
3590 0.0181296 -4.55898
3600 0.016938 -4.56091
3610 0.0152462 -4.56297
3620 0.0134746 -4.56452
3630 0.01216 -4.56482
3640 0.011603 -4.56351
3650 0.0118564 -4.56044
3660 0.0128424 -4.5556
3670 0.0142894 -4.55019
3680 0.0156758 -4.54636
3690 0.0164463 -4.54528
3700 0.016405 -4.54713
3710 0.0158416 -4.54971
3720 0.015196 -4.54985
3730 0.0147123 -4.54675
3740 0.0143593 -4.54144
3750 0.0139752 -4.53638
3760 0.0134024 -4.5345
3770 0.0125429 -4.53725
3780 0.0114946 -4.54423
3790 0.010529 -4.55311
3800 0.0100157 -4.56048
3810 0.0102678 -4.56329
3820 0.0113377 -4.5606
3830 0.0128818 -4.55394
3840 0.0143013 -4.54795
3850 0.0151565 -4.54642
3860 0.0155291 -4.55035
3870 0.0157322 -4.55761
3880 0.0159268 -4.5645
3890 0.0161137 -4.56806
3900 0.0161988 -4.56743
3910 0.0160484 -4.56384
3920 0.0156422 -4.56001
3930 0.0151465 -4.55672
3940 0.0147876 -4.55422
3950 0.0147215 -4.55268
3960 0.0150461 -4.55252
3970 0.0157591 -4.55443
3980 0.0167394 -4.55788
3990 0.0178265 -4.56151
4000 0.0189112 -4.56341
4010 0.0198543 -4.56298
4020 0.0204002 -4.56094
4030 0.0202588 -4.55999
4040 0.0193691 -4.56122
4050 0.0179799 -4.56446
4060 0.0164737 -4.56752
