# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
0 115.485 -335.715 176.638 170.174 -314.116 128.073 5622.73 -9929.44 3977.34
10 37.5317 -340.73 143.951 98.6728 -317.507 115.25 3337.98 -10038.4 3551.24
20 -28.3023 -325.447 115.357 30.4323 -308.582 99.9778 1156.71 -9757.94 3090.32
30 -80.5933 -295.993 96.0138 -31.4395 -289.624 85.8922 -829.515 -9161.18 2697.19
40 -123.082 -259.645 90.3621 -83.8385 -264.294 77.551 -2535.19 -8357.47 2490.65
50 -157.496 -222.457 98.0036 -125.576 -235.954 78.5118 -3924.17 -7457.82 2571.23
60 -182.89 -189.67 115.779 -158.34 -206.279 89.9416 -5027.44 -6524 2968.13
70 -198.212 -162.464 139.146 -184.824 -174.997 109.677 -5909.61 -5558.96 3605.96
80 -206.489 -135.487 161.802 -206.114 -142.183 132.818 -6612.04 -4558.52 4333.78
90 -214.688 -101.841 180.714 -221.291 -108.885 154.587 -7131.1 -3542.16 5002.46
100 -227.862 -61.4309 196.332 -228.932 -75.3528 172.198 -7444.25 -2522.8 5527.48
110 -243.481 -21.8243 208.628 -229.392 -40.6641 184.637 -7549.94 -1488.64 5886.93
120 -253.382 11.3015 215.17 -225.256 -4.54767 191.426 -7492.78 -431.359 6071.54
130 -249.823 40.5792 210.543 -220.225 31.2104 191.26 -7358.43 622.968 6042.69
140 -233.336 74.2716 189.966 -216.773 62.8886 181.876 -7234.85 1606.94 5732.18
150 -212.98 116.354 152.71 -215.362 86.5344 160.917 -7168.74 2430.08 5072.27
160 -199.528 158.977 102.559 -214.711 100.898 126.878 -7159.49 3030.4 4024.17
170 -197.597 186.723 45.2242 -214.397 108.31 79.8225 -7191.1 3412.89 2595.72
180 -204.152 189.828 -13.3037 -215.264 111.505 22.8214 -7252.93 3605.7 862.613
190 -213.587 171.528 -72.7849 -217.673 110.256 -38.4349 -7325.41 3593.44 -1015.29
200 -222.499 143.392 -129.108 -220.244 102.496 -96.1137 -7363.52 3333.36 -2827.3
210 -228.97 115.417 -180.531 -220.475 87.2214 -144.435 -7297.38 2827.93 -4389.69
220 -229.19 92.2068 -223.358 -215.185 66.6815 -179.984 -7044.99 2159.96 -5585.48
230 -218.511 74.2107 -252.794 -201.906 45.0391 -200.933 -6532.96 1464.08 -6336.74
240 -194.104 61.8883 -262.766 -179.043 26.2661 -205.602 -5719.34 869.954 -6570.94
250 -156.878 56.0601 -249.637 -146.91 13.1271 -192.633 -4619.3 467.129 -6227.9
260 -110.417 56.3824 -213.57 -108.136 7.35668 -161.981 -3321.95 302.065 -5305.33
270 -62.2155 60.9159 -160.754 -66.8367 9.35563 -115.925 -1969.88 375.471 -3878.81
280 -20.9944 68.2101 -96.9969 -27.0719 17.5257 -58.2926 -704.637 633.133 -2066.29
290 8.61755 80.021 -26.0036 7.69674 29.1131 5.73389 374.466 996.095 -33.374
300 27.3515 98.9797 45.5955 35.0891 42.3511 69.4443 1216.27 1423.79 1998.63
310 38.519 123.77 107.957 53.6279 58.504 126.413 1807.22 1946.27 3807.68
320 46.0979 148.661 154.468 63.7092 80.1048 172.226 2162.19 2617.02 5240.91
330 51.7434 168.838 184.67 67.046 106.819 205.163 2316.14 3410.06 6254.85
340 53.7986 183.75 205.623 65.5445 133.944 225.33 2304.08 4191.23 6880.05
350 49.8921 197.014 222.73 60.994 156.116 232.038 2155.62 4818.65 7121.06
360 40.5755 211.202 233.448 55.0045 170.033 223.86 1921.98 5217.68 6934.92
370 30.9293 225.668 230.728 49.0704 174.977 201.131 1686.05 5373.46 6305.01
380 26.806 235.206 209.48 44.9824 171.795 167.07 1545.29 5297.46 5301.99
390 29.8133 232.906 175.171 44.6462 161.48 127.778 1582.13 4994.11 4098.82
400 37.5089 216.615 139.843 49.3375 144.712 91.0037 1814.16 4464.25 2939.76
410 46.3213 190.473 111.891 58.0587 122.277 63.7194 2165.32 3737.73 2062.61
420 55.5451 160.755 94.84 68.4311 95.4099 49.9135 2528.47 2868.45 1613.14
430 65.9424 131.57 87.081 78.6332 65.8438 48.8874 2854.77 1916.42 1580.71
440 77.1468 103.534 83.7361 88.4813 35.8261 55.2403 3154.58 947.176 1805.29
450 88.7416 74.6271 80.3744 97.3832 7.58257 62.2871 3427.46 17.0032 2066.93
460 101.299 43.9114 71.3515 103.898 -18.1814 64.7065 3632.89 -853.175 2178.53
470 113.822 12.9601 54.172 107.392 -42.5351 59.5162 3730.19 -1681 2027.3
480 122.502 -16.7867 28.7698 108.21 -67.1139 45.3065 3714.65 -2496.68 1566.46
490 123.042 -45.5029 -2.92575 106.717 -92.2931 21.1982 3598.63 -3319.17 781.815
500 113.747 -73.0382 -39.4056 102.029 -118.055 -13.4267 3370.71 -4148.77 -325.174
510 96.6815 -95.3489 -81.9803 92.3685 -143.484 -57.7631 2997.53 -4951.67 -1714.9
520 75.617 -109.075 -131.837 76.9347 -166.51 -108.134 2461.67 -5646.03 -3288.75
530 52.0291 -115.012 -188.854 56.675 -183.621 -159.105 1786.79 -6126.94 -4906.76
540 25.1831 -118.038 -247.125 33.5633 -192.091 -205.594 1027.43 -6327.65 -6423.25
550 -5.4066 -120.969 -297.556 9.20057 -191.736 -243.939 229.048 -6264.07 -7702.57
560 -37.9451 -122.676 -330.88 -16.6048 -185.377 -270.915 -609.401 -6022.27 -8617.84
570 -69.6307 -120.846 -343.117 -45.1596 -176.299 -283.939 -1521.38 -5707.37 -9063.77
580 -99.0097 -116.106 -333.712 -76.5503 -166.948 -281.459 -2512.85 -5397.19 -8981.79
590 -128.248 -110.062 -304.853 -109.261 -158.262 -263.01 -3535.6 -5122.03 -8372.1
600 -158.075 -103.451 -263.752 -140.751 -149.85 -229.443 -4517.2 -4864.31 -7296.45
610 -185.072 -96.2273 -218.955 -168.558 -140.22 -184.167 -5387.33 -4567.42 -5880.02
620 -205.075 -87.92 -170.4 -190.246 -126.822 -132.771 -6075.4 -4155.78 -4286.87
630 -216.41 -78.4799 -115.198 -203.338 -107.552 -81.2521 -6510.06 -3562.1 -2669.88
