# Time-averaged data for fix Ave
# TimeStep v_HAg v_HTe
0 0.0100093 -4.58835
10 0.0101327 -4.58988
20 0.0105588 -4.5925
30 0.011014 -4.59514
40 0.0112444 -4.59658
50 0.0111267 -4.59667
60 0.0106771 -4.59561
70 0.0100555 -4.594
80 0.0094152 -4.59199
90 0.00881343 -4.59041
100 0.00824607 -4.58919
110 0.0077801 -4.58818
120 0.00755104 -4.58681
130 0.0076815 -4.5845
140 0.00814792 -4.58063
150 0.00873982 -4.57603
160 0.00915141 -4.57214
170 0.00917297 -4.57163
180 0.00881344 -4.57492
190 0.00820206 -4.58034
200 0.00751668 -4.58548
210 0.00698602 -4.58737
220 0.00687164 -4.58509
230 0.0073579 -4.5795
240 0.00833525 -4.57271
250 0.00930024 -4.56823
260 0.00970212 -4.56801
270 0.00944708 -4.57149
280 0.00888819 -4.57543
290 0.00849598 -4.57653
300 0.00862848 -4.57408
310 0.00941723 -4.56872
320 0.010597 -4.56402
330 0.0115986 -4.56222
340 0.0120351 -4.5642
350 0.0119351 -4.56806
360 0.0114863 -4.57098
370 0.0108912 -4.57114
380 0.0102435 -4.56957
390 0.00952363 -4.56872
400 0.00875443 -4.57044
410 0.00806389 -4.5749
420 0.00755342 -4.58061
430 0.00731479 -4.58473
440 0.00747849 -4.58454
450 0.00816369 -4.57914
460 0.00923998 -4.57001
470 0.0102451 -4.56153
480 0.0106119 -4.55838
490 0.0100747 -4.5625
500 0.00889075 -4.57185
510 0.0075917 -4.58183
520 0.00655361 -4.5892
530 0.00592368 -4.59222
540 0.00576432 -4.59193
550 0.0060398 -4.59009
560 0.00658256 -4.58908
570 0.00720774 -4.58988
580 0.00783729 -4.59183
590 0.00853711 -4.5931
600 0.00941437 -4.59158
610 0.0104639 -4.58795
620 0.0115616 -4.58368
630 0.0125736 -4.58065
640 0.0133256 -4.58009
650 0.013572 -4.58141
660 0.0131122 -4.58375
670 0.0120525 -4.58595
680 0.0107942 -4.58686
690 0.00978419 -4.58566
700 0.00929307 -4.58252
710 0.00930647 -4.57844
720 0.00953628 -4.57581
730 0.00957871 -4.57527
740 0.00917269 -4.57672
750 0.00829865 -4.57896
760 0.00714896 -4.58056
770 0.00602996 -4.58104
780 0.00518048 -4.57989
790 0.00468064 -4.57814
800 0.00449435 -4.57581
810 0.00454855 -4.57249
820 0.00484853 -4.56817
830 0.00545885 -4.56505
840 0.00632451 -4.56459
850 0.0072611 -4.56798
860 0.00813284 -4.57408
870 0.0089558 -4.58026
880 0.00975739 -4.58379
890 0.0104636 -4.58395
900 0.0109219 -4.58187
910 0.0110305 -4.57917
920 0.0108063 -4.5766
930 0.0103093 -4.57472
940 0.00959966 -4.57371
950 0.00875661 -4.57471
960 0.00793364 -4.57762
970 0.00731321 -4.5812
980 0.00699261 -4.58365
990 0.00696447 -4.58441
1000 0.00716339 -4.58362
1010 0.00755981 -4.58281
1020 0.00818846 -4.5831
1030 0.00906822 -4.58438
1040 0.0101494 -4.58576
1050 0.0112668 -4.5866
1060 0.0121707 -4.58673
1070 0.0127153 -4.58699
1080 0.0129929 -4.58834
1090 0.0132172 -4.59065
1100 0.0135691 -4.59345
1110 0.0141232 -4.59504
1120 0.0148803 -4.59411
1130 0.0157064 -4.5898
1140 0.0163458 -4.58368
1150 0.0165196 -4.57825
1160 0.0161043 -4.57584
1170 0.0151057 -4.57731
1180 0.0135006 -4.58267
1190 0.0113196 -4.58906
1200 0.00884817 -4.59402
1210 0.00657083 -4.59503
1220 0.00484891 -4.59285
1230 0.00380583 -4.58969
1240 0.00344894 -4.58763
1250 0.00378534 -4.58706
1260 0.00480787 -4.58658
1270 0.00633076 -4.5844
1280 0.00797089 -4.58086
1290 0.0094402 -4.57748
1300 0.0106401 -4.57624
1310 0.0115729 -4.57856
1320 0.0123247 -4.58348
1330 0.0130614 -4.58935
1340 0.0138659 -4.59425
1350 0.014704 -4.59689
1360 0.0154903 -4.59666
1370 0.0161505 -4.59425
1380 0.0165997 -4.59067
1390 0.0167739 -4.58777
1400 0.0167344 -4.58605
1410 0.016618 -4.58487
1420 0.0164296 -4.58295
1430 0.0159501 -4.57997
1440 0.01502 -4.57695
1450 0.0137328 -4.5755
1460 0.0123707 -4.57707
1470 0.0112235 -4.58091
1480 0.0104347 -4.58578
1490 0.00995482 -4.58946
1500 0.0095967 -4.5903
1510 0.00913432 -4.58821
1520 0.00842849 -4.5844
1530 0.00749339 -4.58073
1540 0.00649847 -4.57917
1550 0.0056811 -4.57993
1560 0.005202 -4.58166
1570 0.0050409 -4.58276
1580 0.00509633 -4.5836
1590 0.0053757 -4.58464
1600 0.00605123 -4.58619
1610 0.0072756 -4.58686
1620 0.00896653 -4.58594
1630 0.0107758 -4.58404
1640 0.0122277 -4.58184
1650 0.0129685 -4.58113
1660 0.0129504 -4.58242
1670 0.0124622 -4.58548
1680 0.0119298 -4.58898
1690 0.011629 -4.59266
1700 0.011602 -4.59555
1710 0.0117306 -4.59709
1720 0.0118753 -4.59692
1730 0.0119741 -4.59486
1740 0.0120269 -4.59248
1750 0.0120812 -4.59111
1760 0.0122039 -4.59138
1770 0.0124631 -4.5928
1780 0.0129102 -4.59424
1790 0.0135928 -4.5937
1800 0.014496 -4.59045
1810 0.0154775 -4.58576
1820 0.0162442 -4.58137
1830 0.0165276 -4.57859
1840 0.016291 -4.57793
1850 0.0157342 -4.57852
1860 0.0151135 -4.57908
1870 0.0145534 -4.57872
1880 0.0140655 -4.57682
1890 0.013607 -4.57371
1900 0.0131048 -4.57092
1910 0.0124524 -4.57052
1920 0.0116027 -4.57408
1930 0.0107295 -4.58099
1940 0.0101362 -4.5878
1950 0.010017 -4.59105
1960 0.0103333 -4.58958
1970 0.0108772 -4.58557
1980 0.0114117 -4.58209
1990 0.0118544 -4.58171
2000 0.0123762 -4.58425
2010 0.0132251 -4.58739
2020 0.0144164 -4.58891
2030 0.0156332 -4.58864
2040 0.0163926 -4.58773
2050 0.0162907 -4.58727
2060 0.0152468 -4.58858
2070 0.013554 -4.59186
2080 0.0117039 -4.59637
2090 0.0101251 -4.60098
2100 0.00901332 -4.60489
2110 0.0084182 -4.60742
2120 0.00835211 -4.60816
2130 0.00880661 -4.60683
2140 0.00975015 -4.60409
2150 0.0110906 -4.60148
2160 0.0126636 -4.60024
2170 0.0142747 -4.6006
2180 0.0158107 -4.60107
2190 0.0172697 -4.59995
2200 0.018651 -4.59711
2210 0.0198871 -4.593
2220 0.0208113 -4.58988
2230 0.0212561 -4.58905
2240 0.0211845 -4.5908
2250 0.0207076 -4.59419
2260 0.020017 -4.59752
2270 0.0193501 -4.59967
2280 0.0189598 -4.59928
2290 0.0189728 -4.5965
2300 0.0192407 -4.59303
2310 0.0194459 -4.59058
2320 0.0193334 -4.58984
2330 0.0188714 -4.5905
2340 0.0182574 -4.59147
2350 0.0177038 -4.5924
2360 0.017197 -4.59326
2370 0.0165275 -4.59473
2380 0.0155712 -4.59712
2390 0.0144644 -4.60005
2400 0.0134727 -4.60214
2410 0.0128519 -4.60219
2420 0.0127851 -4.59924
2430 0.0133391 -4.59354
2440 0.0144202 -4.58666
2450 0.0158128 -4.58135
2460 0.0173321 -4.57976
2470 0.0189253 -4.5823
2480 0.020597 -4.58666
2490 0.0222523 -4.59106
2500 0.0236418 -4.5931
2510 0.0243827 -4.59278
2520 0.0241595 -4.59168
2530 0.0228905 -4.59112
2540 0.0207302 -4.59192
2550 0.0180435 -4.59363
2560 0.0153513 -4.59556
2570 0.0131437 -4.59686
2580 0.0117669 -4.59709
2590 0.0113924 -4.59522
2600 0.0119558 -4.59124
2610 0.0131043 -4.58617
2620 0.0143672 -4.58237
2630 0.015381 -4.58154
2640 0.0161112 -4.58401
2650 0.01672 -4.58866
2660 0.0173569 -4.59303
2670 0.017973 -4.59514
2680 0.0183981 -4.59422
2690 0.0184423 -4.59053
2700 0.018078 -4.58684
2710 0.017453 -4.58488
2720 0.0167544 -4.58551
2730 0.016005 -4.58757
2740 0.0150775 -4.58958
2750 0.0138434 -4.5899
2760 0.0123449 -4.5886
2770 0.0108026 -4.58724
2780 0.00950976 -4.58777
2790 0.00875979 -4.59103
2800 0.00881761 -4.59561
2810 0.00985616 -4.59946
2820 0.0117953 -4.60088
2830 0.0142584 -4.59978
2840 0.0167109 -4.59726
2850 0.0186752 -4.5955
2860 0.0199043 -4.59631
2870 0.0204025 -4.60003
2880 0.0202995 -4.60408
2890 0.0197724 -4.60617
2900 0.0190365 -4.60501
2910 0.0182537 -4.60102
2920 0.0174569 -4.59673
2930 0.0166604 -4.59436
2940 0.0159738 -4.59506
2950 0.0156379 -4.59772
2960 0.0159137 -4.60026
2970 0.0169138 -4.6007
2980 0.0184487 -4.59779
2990 0.0200297 -4.59254
3000 0.0211822 -4.5863
3010 0.0217755 -4.58017
3020 0.0219379 -4.57581
3030 0.0217668 -4.57404
3040 0.0212562 -4.57492
3050 0.0204167 -4.57733
3060 0.0192823 -4.57927
3070 0.017844 -4.57915
3080 0.0161185 -4.57753
3090 0.0142077 -4.57598
3100 0.0123077 -4.57663
3110 0.0107765 -4.57995
3120 0.00998928 -4.58459
3130 0.0101339 -4.58906
3140 0.0111273 -4.5918
3150 0.0126607 -4.59194
3160 0.0141989 -4.59061
3170 0.0151456 -4.58916
3180 0.0152137 -4.58809
3190 0.0146755 -4.58713
3200 0.0140914 -4.58522
3210 0.01387 -4.58302
3220 0.0141124 -4.58157
3230 0.0146558 -4.58245
3240 0.0152867 -4.5859
3250 0.0159727 -4.59068
