# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
0 -86.7485 93.2079 -50.549 -106.005 22.4602 -8.55944 -3705.39 669.178 -86.6191
10 -53.5655 77.3446 -46.3611 -71.4147 10.6488 2.95185 -2662.3 243.526 291.787
20 -18.6676 62.5772 -42.5201 -37.4142 -1.84337 21.0095 -1610.47 -162.603 846.355
30 16.9093 51.2842 -37.4615 -6.09124 -14.116 43.311 -617.033 -524.061 1508.16
40 47.2855 40.8244 -29.7205 21.6023 -25.0151 66.149 270.808 -825.274 2181.43
50 66.9782 25.7214 -19.892 44.5747 -33.4804 86.6785 1009.6 -1074.25 2799.91
60 74.8427 0.493667 -9.2523 61.2692 -40.3947 103.286 1555.35 -1319.21 3331.88
70 73.4886 -33.6808 3.29444 70.5977 -48.4803 115.213 1885.07 -1630.26 3755.15
80 66.6894 -67.6704 18.241 72.4974 -60.505 122.527 2011.17 -2056.97 4051
90 59.3506 -91.51 32.9584 68.0154 -77.5006 126.418 1970.59 -2596.44 4217.15
100 52.2544 -103.288 45.4971 58.5754 -97.3853 128.483 1798.7 -3182.49 4269.42
110 41.7149 -109.232 57.2966 45.4459 -115.84 129.565 1501.55 -3712.43 4234.46
120 21.6974 -115.472 72.4127 28.9164 -129.342 129.822 1054.85 -4104.37 4146.44
130 -8.53394 -121.686 92.2792 8.65696 -136.847 128.995 442.173 -4324.62 4036.51
140 -42.0673 -122.157 114.497 -14.9895 -138.619 126.822 -299.148 -4360.2 3912.88
150 -70.3508 -112.059 133.774 -39.6787 -134.251 122.69 -1064.73 -4181.28 3747.86
160 -89.4536 -89.893 143.551 -61.0802 -122.172 115.56 -1711.84 -3738.39 3494.06
170 -99.6025 -58.8641 139.267 -74.4322 -100.929 105.103 -2104.21 -3000.05 3125.85
180 -99.3692 -24.2745 121.471 -76.378 -70.739 91.6894 -2149.76 -1992.3 2655.99
190 -85.6376 10.8284 96.5564 -65.8486 -33.6318 75.4185 -1819.17 -798.765 2105.24
200 -59.0363 45.4116 72.1945 -43.5042 7.04402 55.4526 -1142.18 470.565 1471.57
210 -25.8035 79.4377 50.365 -11.4874 47.9917 30.8503 -198.512 1714.86 731.659
220 6.99472 110.86 26.4425 25.9829 86.1071 1.59881 883.756 2849.68 -136.498
230 35.9052 137.607 -4.32472 62.8144 118.022 -31.1791 1943.44 3790.22 -1123.23
240 61.3692 159.876 -40.2502 93.2029 140.234 -64.9982 2832.59 4453.64 -2160.52
250 84.5163 176.102 -74.8803 114.501 150.861 -96.4088 3475.52 4784.96 -3134.18
260 105.233 181.873 -104.077 127.937 150.479 -122.807 3898.51 4772.81 -3949.96
270 124.952 173.806 -129.404 136.903 140.749 -143.739 4197.84 4441.86 -4596.24
280 145.117 154.031 -157.013 144.375 123.16 -160.804 4468.58 3842.5 -5137.59
290 163.79 127.51 -192.237 151.617 99.1106 -176.187 4753.58 3044.59 -5652.59
300 176.625 98.9443 -233.078 158.677 70.4457 -191.106 5043.47 2130.53 -6170.94
